GYR_X,GYR_Y,GYR_Z,DATE,UNIX_TIMESTAMP,Line_Number
-1.2823914289474487,-1.701030969619751,-0.1896981447935104,2023-10-20T11:45:24.509695Z,1697802324509,248
-1.2967584133148191,-1.7197879552841189,-0.1819825172424316,2023-10-20T11:45:24.519392Z,1697802324519,249
-1.3019465208053589,-1.7276365756988523,-0.1726705431938171,2023-10-20T11:45:24.528973Z,1697802324528,250
-1.2967584133148191,-1.7240447998046875,-0.1614961773157119,2023-10-20T11:45:24.538088Z,1697802324538,251
-1.2787996530532837,-1.707416296005249,-0.1491245627403259,2023-10-20T11:45:24.553724Z,1697802324553,252
-1.2455426454544067,-1.675223469734192,-0.1360878050327301,2023-10-20T11:45:24.559043Z,1697802324558,253
-1.1967213153839111,-1.626535177230835,-0.1222528740763664,2023-10-20T11:45:24.570532Z,1697802324570,254
-1.1348631381988523,-1.56321382522583,-0.1072206869721412,2023-10-20T11:45:24.579281Z,1697802324579,255
-1.0652894973754885,-1.4903143644332886,-0.0913903415203094,2023-10-20T11:45:24.590256Z,1697802324590,256
-0.9945184588432312,-1.4147543907165527,-0.0759590715169906,2023-10-20T11:45:24.602595Z,1697802324602,257
-0.9265410900115968,-1.3425201177597046,-0.0619911178946495,2023-10-20T11:45:24.610437Z,1697802324610,258
-0.863618791103363,-1.278267502784729,-0.0506837256252765,2023-10-20T11:45:24.619913Z,1697802324619,259
1.5347458124160769,0.8226460814476013,-1.3901442289352417,2023-10-20T11:49:11.384089Z,1697802551384,260
1.5275622606277466,0.7473521828651428,-1.5118649005889893,2023-10-20T11:49:11.394276Z,1697802551394,261
1.510135531425476,0.6815032362937927,-1.6303930282592771,2023-10-20T11:49:11.404609Z,1697802551404,262
1.4957685470581057,0.6362736225128174,-1.732425570487976,2023-10-20T11:49:11.413528Z,1697802551413,263
1.4949703216552734,0.6185808777809143,-1.807719588279724,2023-10-20T11:49:11.428361Z,1697802551428,264
1.51691997051239,0.6269617080688477,-1.8536142110824585,2023-10-20T11:49:11.434042Z,1697802551434,265
1.569599151611328,0.6540994048118591,-1.874499678611756,2023-10-20T11:49:11.444834Z,1697802551444,266
1.6520766019821167,0.6888197660446167,-1.8815501928329468,2023-10-20T11:49:11.454501Z,1697802551454,267
1.7522468566894531,0.7208795547485352,-1.886871337890625,2023-10-20T11:49:11.465224Z,1697802551465,268
1.8530821800231927,0.7446916103363037,-1.900174140930176,2023-10-20T11:49:11.477619Z,1697802551477,269
1.9407477378845213,0.7598568201065063,-1.9259816408157349,2023-10-20T11:49:11.485408Z,1697802551485,270
2.0088582038879395,0.7700999975204468,-1.9628304243087769,2023-10-20T11:49:11.494163Z,1697802551494,271
2.0544867515563965,0.7796779870986938,-2.005532503128052,2023-10-20T11:49:11.505679Z,1697802551505,272
2.079629182815552,0.7912514209747314,-2.0473031997680664,2023-10-20T11:49:11.514871Z,1697802551514,273
2.093863010406494,0.8074808716773987,-2.083487033843994,2023-10-20T11:49:11.527824Z,1697802551527,274
